customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST00036,90,3,9387.0,4,1,1,6,At Risk
CUST00037,529,5,46269.590000000004,1,1,3,5,Dormant
CUST00038,178,3,21610.15,3,1,1,5,Dormant
CUST00039,353,8,37887.4,1,3,2,6,At Risk
CUST00040,108,6,31506.5,3,2,2,7,At Risk
CUST00041,75,7,55786.990000000005,4,2,3,9,Loyal
CUST00042,9,6,48081.68,4,2,3,9,Loyal
CUST00043,251,9,64394.89,2,4,4,10,Champions
CUST00044,106,8,55146.22,3,3,3,9,Loyal
CUST00045,130,8,78394.64,3,3,4,10,Champions
CUST00046,406,6,29118.6,1,2,1,4,Dormant
CUST00047,165,3,23471.49,3,1,1,5,Dormant
CUST00048,172,1,1292.94,3,1,1,5,Dormant
CUST00049,106,9,40324.17,3,4,2,9,Loyal
CUST00050,139,3,26944.379999999997,3,1,1,5,Dormant
CUST00051,512,5,15132.6,1,1,1,3,Dormant
CUST00052,388,3,12597.66,1,1,1,3,Dormant
CUST00053,511,8,46813.619999999995,1,3,3,7,At Risk
CUST00054,151,7,30544.85,3,2,2,7,At Risk
CUST00055,499,7,58073.22,1,2,3,6,At Risk
CUST00056,153,9,61331.43,3,4,3,10,Champions
CUST00057,312,8,48142.340000000004,2,3,3,8,Loyal
CUST00058,26,9,58535.32,4,4,3,11,Champions
CUST00059,102,7,55099.09,3,2,3,8,Loyal
CUST00060,236,5,47630.090000000004,2,1,3,6,At Risk
CUST00061,355,13,98089.87,1,4,4,9,Loyal
CUST00062,270,7,36559.97,2,2,2,6,At Risk
CUST00063,73,7,48912.21000000001,4,3,3,10,Champions
CUST00064,169,2,16547.41,3,1,1,5,Dormant
CUST00065,69,9,89655.94,4,4,4,12,Champions
CUST00066,329,6,40600.13,2,2,2,6,At Risk
CUST00067,137,6,30534.379999999997,3,2,2,7,At Risk
CUST00068,36,6,41513.53,4,2,2,8,Loyal
CUST00069,504,4,22198.25,1,1,1,3,Dormant
CUST00070,344,9,64395.409999999996,1,4,4,9,Loyal
CUST00071,276,3,24397.36,2,1,1,4,Dormant
CUST00072,171,5,48547.04,3,1,3,7,At Risk
CUST00073,178,3,31850.14,3,1,2,6,At Risk
CUST00074,439,10,65531.7,1,4,4,9,Loyal
CUST00075,194,7,48031.43,3,3,3,9,Loyal
CUST00076,577,4,21848.57,1,1,1,3,Dormant
CUST00077,515,4,31718.04,1,1,2,4,Dormant
CUST00078,49,11,67586.23,4,4,4,12,Champions
CUST00079,248,6,46031.25,2,2,3,7,At Risk
CUST00080,442,3,9527.3,1,1,1,3,Dormant
CUST00081,180,8,50978.17,3,3,3,9,Loyal
CUST00082,494,5,15025.21,1,1,1,3,Dormant
CUST00083,73,8,92079.68,4,3,4,11,Champions
CUST00084,127,4,19209.010000000002,3,1,1,5,Dormant
CUST00085,87,6,50047.4,4,2,3,9,Loyal
CUST00086,122,4,23835.82,3,1,1,5,Dormant
CUST00087,295,5,77698.2,2,1,4,7,At Risk
CUST00088,74,5,24896.83,4,1,1,6,At Risk
CUST00089,85,6,18161.83,4,2,1,7,At Risk
CUST00090,157,12,74672.5,3,4,4,11,Champions
CUST00091,191,6,38831.979999999996,3,2,2,7,At Risk
CUST00092,208,7,55996.16,2,3,3,8,Loyal
CUST00093,313,10,94942.56,2,4,4,10,Champions
CUST00094,180,6,63024.02,3,2,3,8,Loyal
CUST00095,376,5,33437.04,1,1,2,4,Dormant
CUST00096,501,4,51975.399999999994,1,1,3,5,Dormant
CUST00097,69,4,29428.629999999997,4,1,1,6,At Risk
CUST00098,140,4,37051.65,3,1,2,6,At Risk
CUST00099,361,6,48240.44,1,2,3,6,At Risk
CUST00100,19,6,27882.2,4,2,1,7,At Risk
CUST00101,67,6,38820.55,4,2,2,8,Loyal
CUST00102,254,2,19054.25,2,1,1,4,Dormant
CUST00103,328,9,61799.15,2,4,3,9,Loyal
CUST00104,164,2,2815.1,3,1,1,5,Dormant
CUST00105,294,2,22932.489999999998,2,1,1,4,Dormant
CUST00106,131,7,34395.89,3,3,2,8,Loyal
CUST00107,174,8,55413.34,3,3,3,9,Loyal
CUST00108,371,6,30967.51,1,2,2,5,Dormant
CUST00109,194,4,57878.76,3,1,3,7,At Risk
CUST00110,249,9,76494.49,2,4,4,10,Champions
CUST00111,437,7,36673.87,1,3,2,6,At Risk
CUST00112,89,8,38887.240000000005,4,3,2,9,Loyal
CUST00113,231,5,49361.28,2,1,3,6,At Risk
CUST00114,289,5,24367.989999999998,2,1,1,4,Dormant
CUST00115,161,9,63783.16,3,4,4,11,Champions
CUST00116,52,6,46297.94,4,2,3,9,Loyal
CUST00117,533,5,34976.479999999996,1,1,2,4,Dormant
CUST00118,70,9,51807.22,4,4,3,11,Champions
CUST00119,380,3,24140.34,1,1,1,3,Dormant
CUST00120,266,5,25681.83,2,1,1,4,Dormant
CUST00121,195,5,21004.12,3,1,1,5,Dormant
CUST00122,397,7,46130.47,1,3,3,7,At Risk
CUST00123,41,5,27351.3,4,1,1,6,At Risk
CUST00124,200,1,3156.12,3,1,1,5,Dormant
CUST00125,26,5,39547.14,4,1,2,7,At Risk
CUST00126,153,8,80993.34,3,3,4,10,Champions
CUST00127,76,8,26171.73,4,3,1,8,Loyal
CUST00128,184,4,8874.45,3,1,1,5,Dormant
CUST00129,323,6,26720.82,2,2,1,5,Dormant
CUST00130,260,10,79602.91,2,4,4,10,Champions
CUST00131,173,12,124795.79000000001,3,4,4,11,Champions
CUST00132,290,4,39290.049999999996,2,1,2,5,Dormant
CUST00133,116,11,62744.45,3,4,3,10,Champions
CUST00134,300,6,67028.41,2,2,4,8,Loyal
CUST00135,231,7,48885.53,2,3,3,8,Loyal
CUST00136,86,8,107354.14,4,3,4,11,Champions
CUST00137,27,7,75988.14,4,3,4,11,Champions
CUST00138,169,5,24002.53,3,1,1,5,Dormant
CUST00139,57,9,53073.91,4,4,3,11,Champions
CUST00140,166,7,50807.990000000005,3,3,3,9,Loyal
CUST00141,159,12,125412.03,3,4,4,11,Champions
CUST00142,45,4,22656.68,4,1,1,6,At Risk
CUST00143,114,8,35894.77,3,3,2,8,Loyal
CUST00144,429,3,13295.4,1,1,1,3,Dormant
CUST00145,129,2,19486.14,3,1,1,5,Dormant
CUST00146,53,8,67251.25,4,3,4,11,Champions
CUST00147,80,9,75455.47,4,4,4,12,Champions
CUST00148,27,5,36628.090000000004,4,1,2,7,At Risk
CUST00149,191,9,73120.45,3,4,4,11,Champions
CUST00150,53,8,65961.35,4,3,4,11,Champions
CUST00151,288,6,36336.14,2,2,2,6,At Risk
CUST00152,253,11,87076.11,2,4,4,10,Champions
CUST00153,292,8,41110.47,2,3,2,7,At Risk
CUST00154,209,5,17482.18,2,1,1,4,Dormant
CUST00155,272,5,38735.5,2,1,2,5,Dormant
CUST00156,198,7,33947.71,3,3,2,8,Loyal
CUST00157,35,7,61507.78,4,3,3,10,Champions
CUST00158,255,5,43677.979999999996,2,1,2,5,Dormant
CUST00159,336,3,18359.21,2,1,1,4,Dormant
CUST00160,280,9,78708.48,2,4,4,10,Champions
CUST00161,187,7,40131.93,3,3,2,8,Loyal
CUST00162,387,6,35622.490000000005,1,2,2,5,Dormant
CUST00163,180,5,21971.13,3,1,1,5,Dormant
CUST00164,443,8,85734.20999999999,1,3,4,8,Loyal
CUST00165,263,6,25537.52,2,2,1,5,Dormant
CUST00166,292,11,106300.0,2,4,4,10,Champions
CUST00167,102,4,58670.21,3,1,3,7,At Risk
CUST00168,93,8,70027.89,4,3,4,11,Champions
CUST00169,172,6,38043.68,3,2,2,7,At Risk
CUST00170,315,10,73577.57,2,4,4,10,Champions
CUST00171,154,2,19843.39,3,1,1,5,Dormant
CUST00172,448,4,12581.119999999999,1,1,1,3,Dormant
CUST00173,252,9,65449.090000000004,2,4,4,10,Champions
CUST00174,427,7,55321.05,1,3,3,7,At Risk
CUST00175,14,12,78210.9,4,4,4,12,Champions
CUST00176,243,15,170772.56,2,4,4,10,Champions
CUST00177,169,3,32256.43,3,1,2,6,At Risk
CUST00178,51,8,59158.95,4,3,3,10,Champions
CUST00179,100,11,82789.31,3,4,4,11,Champions
CUST00180,86,6,24559.41,4,2,1,7,At Risk
CUST00181,45,6,30419.989999999998,4,2,1,7,At Risk
CUST00182,346,5,35252.43,1,1,2,4,Dormant
CUST00183,327,8,53538.21,2,3,3,8,Loyal
CUST00184,92,7,55431.2,4,3,3,10,Champions
CUST00185,64,11,75370.05,4,4,4,12,Champions
CUST00186,124,6,13418.02,3,2,1,6,At Risk
CUST00187,269,6,73285.69,2,2,4,8,Loyal
CUST00188,216,5,19001.78,2,1,1,4,Dormant
CUST00189,11,8,30014.940000000002,4,3,1,8,Loyal
CUST00190,421,2,17981.22,1,1,1,3,Dormant
CUST00191,392,8,49806.149999999994,1,3,3,7,At Risk
CUST00192,202,5,52429.93,3,1,3,7,At Risk
CUST00193,509,6,52192.100000000006,1,2,3,6,At Risk
CUST00194,261,3,35355.25,2,1,2,5,Dormant
CUST00195,130,10,109224.7,3,4,4,11,Champions
CUST00196,84,4,24280.28,4,1,1,6,At Risk
CUST00197,352,6,54015.68,1,2,3,6,At Risk
CUST00198,269,11,118663.73999999999,2,4,4,10,Champions
CUST00199,332,7,29663.57,2,3,1,6,At Risk
CUST00200,297,8,68833.1,2,3,4,9,Loyal
CUST00201,333,5,53136.82,2,1,3,6,At Risk
CUST00202,82,11,76985.92,4,4,4,12,Champions
CUST00203,352,5,37716.4,1,1,2,4,Dormant
CUST00204,95,5,53204.2,3,1,3,7,At Risk
CUST00205,529,4,30280.67,1,1,1,3,Dormant
CUST00206,494,10,66583.25,1,4,4,9,Loyal
CUST00207,400,9,42131.17,1,4,2,7,At Risk
CUST00208,141,7,67786.83,3,3,4,10,Champions
CUST00209,109,7,59037.130000000005,3,3,3,9,Loyal
CUST00210,161,5,37529.29,3,1,2,6,At Risk
CUST00211,63,4,25324.370000000003,4,1,1,6,At Risk
CUST00212,348,7,33396.96,1,3,2,6,At Risk
CUST00213,320,5,48808.270000000004,2,1,3,6,At Risk
CUST00214,122,6,40699.98,3,2,2,7,At Risk
CUST00215,44,9,50217.0,4,4,3,11,Champions
CUST00216,428,8,48260.67,1,3,3,7,At Risk
CUST00217,344,2,10242.24,1,1,1,3,Dormant
CUST00218,172,7,55733.5,3,3,3,9,Loyal
CUST00219,389,12,96912.52,1,4,4,9,Loyal
CUST00220,278,10,52994.13,2,4,3,9,Loyal
CUST00221,30,7,29807.98,4,3,1,8,Loyal
CUST00222,225,4,28005.02,2,1,1,4,Dormant
CUST00223,155,4,35507.840000000004,3,1,2,6,At Risk
CUST00224,56,4,38802.43,4,1,2,7,At Risk
CUST00225,312,6,53234.98,2,2,3,7,At Risk
CUST00226,220,9,70842.56999999999,2,4,4,10,Champions
CUST00227,146,5,44497.95,3,1,3,7,At Risk
CUST00228,382,7,50044.97,1,3,3,7,At Risk
CUST00229,175,3,28456.120000000003,3,1,1,5,Dormant
CUST00230,28,8,31602.36,4,3,2,9,Loyal
CUST00231,57,11,106529.05,4,4,4,12,Champions
CUST00232,552,7,64188.48,1,3,4,8,Loyal
CUST00233,119,12,94526.71,3,4,4,11,Champions
CUST00234,163,8,65662.41,3,3,4,10,Champions
CUST00235,34,7,33855.1,4,3,2,9,Loyal
CUST00236,56,4,20026.84,4,1,1,6,At Risk
CUST00237,60,10,60036.840000000004,4,4,3,11,Champions
CUST00238,203,6,61378.18,2,2,3,7,At Risk
CUST00239,309,4,34348.71,2,1,2,5,Dormant
CUST00240,305,6,57534.76,2,2,3,7,At Risk
CUST00241,73,11,108854.87,4,4,4,12,Champions
CUST00242,111,6,48554.92,3,2,3,8,Loyal
CUST00243,34,6,35032.01,4,2,2,8,Loyal
CUST00244,14,7,41004.65,4,3,2,9,Loyal
CUST00245,2,9,89797.54,4,4,4,12,Champions
CUST00246,433,3,16166.130000000001,1,1,1,3,Dormant
CUST00247,337,8,108533.29,2,3,4,9,Loyal
CUST00248,99,9,59062.689999999995,3,4,3,10,Champions
CUST00249,460,4,22963.45,1,1,1,3,Dormant
CUST00250,286,12,85633.52,2,4,4,10,Champions
CUST00251,195,9,93785.4,3,4,4,11,Champions
CUST00252,351,10,80210.28,1,4,4,9,Loyal
CUST00253,80,2,19970.13,4,1,1,6,At Risk
CUST00254,39,10,61205.479999999996,4,4,3,11,Champions
CUST00255,145,6,35730.21,3,2,2,7,At Risk
CUST00256,140,2,21824.43,3,1,1,5,Dormant
CUST00257,510,6,33366.13,1,2,2,5,Dormant
CUST00258,390,8,30009.33,1,3,1,5,Dormant
CUST00259,331,3,4601.76,2,1,1,4,Dormant
CUST00260,90,7,38291.13,4,3,2,9,Loyal
CUST00261,121,2,9680.34,3,1,1,5,Dormant
CUST00262,310,6,47056.979999999996,2,2,3,7,At Risk
CUST00263,103,14,100567.65,3,4,4,11,Champions
CUST00264,387,8,59651.61,1,3,3,7,At Risk
CUST00265,371,8,52831.32,1,3,3,7,At Risk
CUST00266,23,3,16759.18,4,1,1,6,At Risk
CUST00267,302,7,41854.01,2,3,2,7,At Risk
CUST00268,491,3,28412.21,1,1,1,3,Dormant
CUST00269,336,5,36781.41,2,1,2,5,Dormant
CUST00270,161,4,31214.27,3,1,2,6,At Risk
CUST00271,337,10,67770.82,2,4,4,10,Champions
CUST00272,427,3,29030.33,1,1,1,3,Dormant
CUST00273,67,6,43163.61,4,2,2,8,Loyal
CUST00274,65,13,113661.88,4,4,4,12,Champions
CUST00275,95,9,67181.4,3,4,4,11,Champions
CUST00276,124,9,63696.81,3,4,4,11,Champions
CUST00277,120,1,15443.35,3,1,1,5,Dormant
CUST00278,399,5,36452.31,1,2,2,5,Dormant
CUST00279,228,6,51404.93,2,2,3,7,At Risk
CUST00280,221,7,44720.509999999995,2,3,3,8,Loyal
CUST00281,192,7,62699.61,3,3,3,9,Loyal
CUST00282,662,2,14318.85,1,1,1,3,Dormant
CUST00283,39,4,12027.77,4,1,1,6,At Risk
CUST00284,1,7,52540.990000000005,4,3,3,10,Champions
CUST00285,163,11,161150.11,3,4,4,11,Champions
CUST00286,71,6,60940.619999999995,4,2,3,9,Loyal
CUST00287,8,7,58941.729999999996,4,3,3,10,Champions
CUST00288,500,6,69005.21,1,2,4,7,At Risk
CUST00289,273,4,47504.630000000005,2,1,3,6,At Risk
CUST00290,317,3,23776.7,2,1,1,4,Dormant
CUST00291,18,3,35660.85,4,1,2,7,At Risk
CUST00292,48,6,65199.58,4,2,4,10,Champions
CUST00293,169,7,45071.25,3,3,3,9,Loyal
CUST00294,114,8,60399.51,3,3,3,9,Loyal
CUST00295,473,5,42796.06,1,2,2,5,Dormant
CUST00296,201,7,51755.69,3,3,3,9,Loyal
CUST00297,495,9,63455.1,1,4,3,8,Loyal
CUST00298,163,10,40251.9,3,4,2,9,Loyal
CUST00299,294,7,64680.65,2,3,4,9,Loyal
CUST00300,283,5,24659.49,2,2,1,5,Dormant
CUST00301,22,3,13729.07,4,1,1,6,At Risk
CUST00302,135,10,72069.68000000001,3,4,4,11,Champions
CUST00303,297,9,79238.95999999999,2,4,4,10,Champions
CUST00304,343,4,36020.27,1,1,2,4,Dormant
CUST00305,182,3,16035.19,3,1,1,5,Dormant
CUST00306,181,7,68180.88,3,3,4,10,Champions
CUST00307,396,6,30544.28,1,2,2,5,Dormant
CUST00308,432,7,37055.68,1,3,2,6,At Risk
CUST00309,472,11,64941.73,1,4,4,9,Loyal
CUST00310,189,7,46157.26,3,3,3,9,Loyal
CUST00311,117,2,6779.68,3,1,1,5,Dormant
CUST00312,432,5,37913.270000000004,1,2,2,5,Dormant
CUST00313,403,7,41515.34,1,3,2,6,At Risk
CUST00314,195,4,38143.549999999996,3,1,2,6,At Risk
CUST00315,292,7,58495.020000000004,2,3,3,8,Loyal
CUST00316,464,9,60282.04,1,4,3,8,Loyal
CUST00317,477,3,6020.5,1,1,1,3,Dormant
CUST00318,262,7,37001.4,2,3,2,7,At Risk
CUST00319,45,8,67792.57,4,3,4,11,Champions
CUST00320,178,7,52343.44,3,3,3,9,Loyal
CUST00321,304,5,33805.97,2,2,2,6,At Risk
CUST00322,111,11,77228.18000000001,3,4,4,11,Champions
CUST00323,446,9,88323.33,1,4,4,9,Loyal
CUST00324,24,4,19491.68,4,1,1,6,At Risk
CUST00325,495,11,76354.51,1,4,4,9,Loyal
CUST00326,202,4,15548.76,3,1,1,5,Dormant
CUST00327,45,6,21036.55,4,2,1,7,At Risk
CUST00328,259,5,38483.42,2,2,2,6,At Risk
CUST00329,355,2,11135.39,1,1,1,3,Dormant
CUST00330,213,11,61354.47,2,4,3,9,Loyal
CUST00331,136,7,52385.200000000004,3,3,3,9,Loyal
CUST00332,382,6,37227.07,1,2,2,5,Dormant
CUST00333,429,6,36454.86,1,2,2,5,Dormant
CUST00334,495,6,34353.95,1,2,2,5,Dormant
CUST00335,128,4,57562.86,3,1,3,7,At Risk
CUST00336,297,11,99078.99,2,4,4,10,Champions
CUST00337,174,7,37848.85,3,3,2,8,Loyal
CUST00338,320,13,102511.46,2,4,4,10,Champions
CUST00339,406,5,32880.22,1,2,2,5,Dormant
CUST00340,472,6,65545.55,1,2,4,7,At Risk
CUST00341,446,3,20981.18,1,1,1,3,Dormant
CUST00342,111,6,38760.93,3,2,2,7,At Risk
CUST00343,257,10,37417.52,2,4,2,8,Loyal
CUST00344,103,7,58516.68,3,3,3,9,Loyal
CUST00345,12,7,55849.53,4,3,3,10,Champions
CUST00346,91,5,58334.32,4,2,3,9,Loyal
CUST00347,315,3,36813.27,2,1,2,5,Dormant
CUST00348,289,9,51359.28,2,4,3,9,Loyal
CUST00349,324,7,48870.219999999994,2,3,3,8,Loyal
CUST00350,250,3,18140.78,2,1,1,4,Dormant
CUST00351,132,4,31496.17,3,1,2,6,At Risk
CUST00352,111,7,33263.6,3,3,2,8,Loyal
CUST00353,534,7,60103.69,1,3,3,7,At Risk
CUST00354,326,8,29745.57,2,3,1,6,At Risk
CUST00355,208,8,57147.200000000004,2,3,3,8,Loyal
CUST00356,82,7,48124.29,4,3,3,10,Champions
CUST00357,176,11,88649.4,3,4,4,11,Champions
CUST00358,55,4,20782.059999999998,4,1,1,6,At Risk
CUST00359,468,7,39159.47,1,3,2,6,At Risk
CUST00360,264,8,61371.82,2,3,3,8,Loyal
CUST00361,165,5,23211.09,3,2,1,6,At Risk
CUST00362,109,2,17639.84,3,1,1,5,Dormant
CUST00363,255,11,70804.75,2,4,4,10,Champions
CUST00364,136,7,51512.78,3,3,3,9,Loyal
CUST00365,54,10,45297.579999999994,4,4,3,11,Champions
CUST00366,6,4,42965.47,4,1,2,7,At Risk
CUST00367,56,6,49398.82,4,2,3,9,Loyal
CUST00368,100,11,98358.41,3,4,4,11,Champions
CUST00369,263,3,32758.739999999998,2,1,2,5,Dormant
CUST00370,381,7,30481.559999999998,1,3,1,5,Dormant
CUST00371,443,5,48178.25,1,2,3,6,At Risk
CUST00372,62,7,69141.76,4,3,4,11,Champions
CUST00373,232,5,34931.5,2,2,2,6,At Risk
CUST00374,523,6,16594.420000000002,1,2,1,4,Dormant
CUST00375,144,5,24958.59,3,2,1,6,At Risk
CUST00376,167,2,6216.25,3,1,1,5,Dormant
CUST00377,85,7,64970.61,4,3,4,11,Champions
CUST00378,619,7,60833.91,1,3,3,7,At Risk
CUST00379,361,13,66784.59999999999,1,4,4,9,Loyal
CUST00380,29,7,48375.29,4,3,3,10,Champions
CUST00381,401,5,57820.42,1,2,3,6,At Risk
CUST00382,46,10,110870.18,4,4,4,12,Champions
CUST00383,107,8,69680.96,3,3,4,10,Champions
CUST00384,41,8,53988.51,4,3,3,10,Champions
CUST00385,486,13,76805.05,1,4,4,9,Loyal
CUST00386,119,6,25151.34,3,2,1,6,At Risk
CUST00387,82,7,55544.920000000006,4,3,3,10,Champions
CUST00388,49,3,20115.86,4,1,1,6,At Risk
CUST00389,297,11,60172.770000000004,2,4,3,9,Loyal
CUST00390,272,5,17145.58,2,2,1,5,Dormant
CUST00391,127,2,10601.08,3,1,1,5,Dormant
CUST00392,105,10,79043.69,3,4,4,11,Champions
CUST00393,487,3,17018.3,1,1,1,3,Dormant
CUST00394,94,6,33792.12,4,2,2,8,Loyal
CUST00395,171,9,50047.229999999996,3,4,3,10,Champions
CUST00396,407,4,24172.12,1,1,1,3,Dormant
CUST00397,281,5,32621.55,2,2,2,6,At Risk
CUST00398,105,7,22587.1,3,3,1,7,At Risk
CUST00399,129,9,87143.61,3,4,4,11,Champions
CUST00400,278,4,38980.53,2,1,2,5,Dormant
CUST00401,351,3,19786.35,1,1,1,3,Dormant
CUST00402,394,11,67013.45999999999,1,4,4,9,Loyal
CUST00403,240,7,49377.03,2,3,3,8,Loyal
CUST00404,195,5,18892.48,3,2,1,6,At Risk
CUST00405,466,5,37092.2,1,2,2,5,Dormant
CUST00406,173,7,69996.31999999999,3,3,4,10,Champions
CUST00407,61,5,29959.56,4,2,1,7,At Risk
CUST00408,117,8,79144.83,3,3,4,10,Champions
CUST00409,108,11,57068.44,3,4,3,10,Champions
CUST00410,445,4,33587.69,1,1,2,4,Dormant
CUST00411,206,8,73565.73,2,3,4,9,Loyal
CUST00412,13,10,73151.48,4,4,4,12,Champions
CUST00413,256,9,66129.03,2,4,4,10,Champions
CUST00414,58,4,22980.78,4,1,1,6,At Risk
CUST00415,89,11,77571.69,4,4,4,12,Champions
CUST00416,372,10,64462.01,1,4,4,9,Loyal
CUST00417,461,3,41493.369999999995,1,1,2,4,Dormant
CUST00418,340,10,74228.08,1,4,4,9,Loyal
CUST00419,24,11,64627.130000000005,4,4,4,12,Champions
CUST00420,31,6,39141.0,4,2,2,8,Loyal
CUST00421,62,7,35994.21,4,3,2,9,Loyal
CUST00422,246,1,14141.76,2,1,1,4,Dormant
CUST00423,380,6,35927.93,1,2,2,5,Dormant
CUST00424,264,7,38802.99,2,3,2,7,At Risk
CUST00425,159,5,47339.39,3,2,3,8,Loyal
CUST00426,431,5,32781.92,1,2,2,5,Dormant
CUST00427,548,4,31491.37,1,1,2,4,Dormant
CUST00428,483,5,25755.17,1,2,1,4,Dormant
CUST00429,123,13,115495.7,3,4,4,11,Champions
CUST00430,227,3,11153.03,2,1,1,4,Dormant
CUST00431,248,10,51118.09,2,4,3,9,Loyal
CUST00432,277,4,30923.39,2,1,2,5,Dormant
CUST00433,221,9,53632.5,2,4,3,9,Loyal
CUST00434,455,3,27864.13,1,1,1,3,Dormant
CUST00435,322,8,83641.39,2,3,4,9,Loyal
CUST00436,334,12,89213.05,2,4,4,10,Champions
CUST00437,112,5,61696.12,3,2,3,8,Loyal
CUST00438,77,11,77775.48,4,4,4,12,Champions
CUST00439,286,10,94989.2,2,4,4,10,Champions
CUST00440,18,6,56584.6,4,2,3,9,Loyal
CUST00441,373,13,121996.17,1,4,4,9,Loyal
CUST00442,205,8,37800.08,2,3,2,7,At Risk
CUST00443,29,7,40125.22,4,3,2,9,Loyal
CUST00444,80,9,70857.97,4,4,4,12,Champions
CUST00445,260,7,45410.67,2,3,3,8,Loyal
CUST00446,6,7,38502.35,4,3,2,9,Loyal
CUST00447,376,7,60642.22,1,3,3,7,At Risk
CUST00448,272,8,36001.24,2,3,2,7,At Risk
CUST00449,6,7,30456.41,4,3,1,8,Loyal
CUST00450,279,4,44350.32,2,1,3,6,At Risk
CUST00451,47,6,34030.22,4,2,2,8,Loyal
CUST00452,8,6,36850.43,4,2,2,8,Loyal
CUST00453,270,8,62962.22,2,3,3,8,Loyal
CUST00454,94,6,51277.14,4,2,3,9,Loyal
CUST00455,123,2,24197.84,3,1,1,5,Dormant
CUST00456,260,6,57956.64,2,2,3,7,At Risk
CUST00457,128,8,66123.11,3,3,4,10,Champions
CUST00458,160,6,40071.130000000005,3,2,2,7,At Risk
CUST00459,86,11,107442.61,4,4,4,12,Champions
CUST00460,528,6,50354.95,1,2,3,6,At Risk
CUST00461,224,7,24723.34,2,3,1,6,At Risk
CUST00462,93,8,87769.25,4,3,4,11,Champions
CUST00463,137,5,39313.43,3,2,2,7,At Risk
CUST00464,238,6,41522.84,2,2,2,6,At Risk
CUST00465,239,15,63611.22,2,4,4,10,Champions
CUST00466,160,10,84638.92,3,4,4,11,Champions
CUST00467,57,3,29013.63,4,1,1,6,At Risk
CUST00468,501,5,27456.37,1,2,1,4,Dormant
CUST00469,389,6,42656.5,1,2,2,5,Dormant
CUST00470,40,11,62401.28,4,4,3,11,Champions
CUST00471,332,4,26780.11,2,1,1,4,Dormant
CUST00472,277,6,62386.46,2,2,3,7,At Risk
CUST00473,400,3,17265.98,1,1,1,3,Dormant
CUST00474,31,9,50019.84,4,4,3,11,Champions
CUST00475,115,7,17752.95,3,3,1,7,At Risk
CUST00476,120,8,82049.61,3,3,4,10,Champions
CUST00477,613,6,36367.32,1,2,2,5,Dormant
CUST00478,279,3,24011.510000000002,2,1,1,4,Dormant
CUST00479,61,7,59106.869999999995,4,3,3,10,Champions
CUST00480,257,12,97324.06,2,4,4,10,Champions
CUST00481,48,8,59069.94,4,3,3,10,Champions
CUST00482,182,5,36090.91,3,2,2,7,At Risk
CUST00483,213,1,4817.38,2,1,1,4,Dormant
CUST00484,250,4,33943.15,2,1,2,5,Dormant
CUST00485,226,4,9292.349999999999,2,1,1,4,Dormant
CUST00486,223,9,85944.99,2,4,4,10,Champions
CUST00487,397,8,63507.479999999996,1,3,4,8,Loyal
CUST00488,432,7,38503.15,1,3,2,6,At Risk
CUST00489,219,8,62241.02,2,3,3,8,Loyal
CUST00490,43,7,39028.32,4,3,2,9,Loyal
CUST00491,417,5,40364.27,1,2,2,5,Dormant
CUST00492,316,8,45103.659999999996,2,3,3,8,Loyal
CUST00493,307,2,10294.56,2,1,1,4,Dormant
